Campus,Dorm_Name,URL,Features
Busch,Morrow Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/morrow-suites,"Type of Residence Hall:  Suites 
 Number of Students:  177 
 Number of Floors:  4 
 Average Room Size:  ""18 x 12"" 
 Availability:  Continuing Students, First-Year Students 
 Contract Type:  Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Vending machines Wifi throughout the building Laundry facility Building main lounge Building study lounge Floor lounge(s) Pool table, ping pong table, foosball table Communal kitchen (with stove top and oven) (one in the building) *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my suite? Twin extra long bed and mattress Closet space Dresser Desk Chair Microfridge Blinds or curtains Mirrors (in every room) Wifi in bedrooms Couch Loveseat Arm chair Coffee table Side table(s) Private bathroom in room"
Busch,Barr Hall,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/barr-hall,"Type of Residence Hall:  Traditional Hall 
 Number of Students:  220 
 Number of Floors:  4 
 Average Room Size:  18x12 
 Availability:  First-Year Students 
 Contract Type:  Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center (premier athletic facility), intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Vending machines Wifi throughout the building Laundry facility Building main lounge Floor lounges Pool table, table tennis, foosball table Communal bathroom (separated by gender) *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my room? Twin extra long bed and mattress Closet space Dresser Desk Chair Microfridge Blinds or curtains Mirrors (in every room) Wifi in bedrooms Carpeted flooring"
Busch,Nichols Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/nichols-apartments,"Type of Residence Hall:  Apartments 
 Number of Students:  237 
 Number of Floors:  3 
 Average Room Size:  ""11 x 18"" 
 Availability:  Continuing Students 
 Contract Type:  Family Apartments – Monthly Rent – Open During University Breaks, Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Wifi throughout the building Laundry facility Park/playground *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my apartment (undergrad only)? Twin extra long bed and mattress Closet space Dresser Desk Chair Microfridge Blinds or curtains Mirrors (in every room) Wifi in bedrooms Couch Loveseat Arm chair Coffee table Side table(s) Private bathroom in apartment What’s included in my apartment (family only)? Full sized bed and mattress Twin extra long bed and mattress Closet space Dresser Desk Chair Blinds or curtains Wifi in bedrooms Carpeted flooring/Linoleum Flooring Couch Coffee table Side table(s) Dining room table and chairs Lamps Hallway storage space/closet Sink Full size refrigerator Cabinet space Pantry room Private bathroom in apartment"
Busch,Judson Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/judson-suites,"Type of Residence Hall:  Suites 
 Number of Students:  177 
 Number of Floors:  4 
 Average Room Size:  ""18 x 12"" 
 Availability:  Continuing Students 
 Contract Type:  Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Vending machines Wifi throughout the building Laundry facility Building main lounge Floor lounge(s) Pool table, ping pong table, foosball table Communal kitchen (with stove top and oven) (one in the building) Elevator *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my suite? Twin extra long bed and mattress Closet space Dresser Desk Chair Microfridge Blinds or curtains mirrors (in every room) Wifi in bedrooms Carpeted flooring Couch Loveseat Arm chair Coffee table Side tables Lamps Private bathroom in suite"
Busch,McCormick Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/mccormick-suites,"Type of Residence Hall:  Suites 
 Number of Students:  288 
 Number of Floors:  10 
 Average Room Size:  ""18 x 12"" 
 Availability:  Continuing Students, First-Year Students, Honors Student 
 Contract Type:  Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Vending machines Wifi throughout the building Laundry facility Building main lounge Building study lounge Floor lounges Pool table, Ping pong table Communal kitchen (with stove top and oven) (one in the building) Communal refrigerator, sink Communal bathroom (separated by gender) Private bathroom in suite Elevator Automated building entrance doors *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my suite? Twin extra long bed and mattress Closet space Dresser Desk Chair Microfridge Blinds or curtains Mirrors (in every room) Wifi in bedrooms Carpeted flooring Couch Arm chair Coffee table Side table(s) Lamps Private bathroom in suite"
Busch,Buell Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/buell-apartments,"Type of Residence Hall:  Apartments 
 Number of Students:  348 
 Number of Floors:  3 
 Average Room Size:  9x15 
 Availability:  Graduate Students 
 Contract Type:  Graduate Academic Year Two Semesters 9-month – Open During University Breaks, Graduate Full Calendar Year 12-month – Open During University Breaks 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Single bedroom per student Wifi throughout the building Laundry facility Apartment for programming space Automated building entrance doors *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my apartment? Twin extra long bed and mattress Closet space Dresser Desk Chair Blinds or curtains Wifi in bedrooms Carpeted flooring Couch Arm chair Coffee table Side tables Dining room table and chairs Lamps Hallway storage space/closet Air conditioning Linoleum flooring/carpeted flooring Sink Full size refrigerator Stove/oven Cabinet space Bathroom in apartment"
Busch,Marvin Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/marvin-apartments,"Type of Residence Hall:  Apartments 
 Number of Students:  100 
 Number of Floors:  3 
 Average Room Size:  ""15 x 11"" 
 Availability:  Student Living with Families 
 Contract Type:  Family Apartments – Monthly Rent – Open During University Breaks 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Wifi throughout the building Laundry facility Park/playground, basketball court Apartment to be used for programming (staff access only) *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my apartment? Full sized bed and mattress Twin extra long bed and mattress Closet space Dresser Desk Chair Blinds or curtains Mirrors (in every room) Wifi in bedrooms Linoleum flooring/carpeted flooring Couch Arm chair Coffee table Side table(s) Dining room table and chairs Lamps Hallway storage space/closet Sink Full size refrigerator Stove/oven Cabinet space Private bathroom in apartment"
Busch,Mattia Hall,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/mattia-hall,"Type of Residence Hall:  Traditional Hall 
 Number of Students:  221 
 Number of Floors:  4 
 Average Room Size:  ""18 x 12"" 
 Availability:  First-Year Students 
 Contract Type:  Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center (premier athletic facility), intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Vending machines Wifi throughout the building Building main lounge Building study lounge Floor lounges Pool table, table tennis, foosball table Communal bathroom (separated by gender) *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my room? Twin extra long bed and mattress Closet space Wardrobe Dresser Desk Chair Microfridge Blinds or curtains Mirrors (in every room) Wifi in bedrooms Ceiling fan Carpeted flooring"
Busch,Richardson Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/richardson-apartments,"Type of Residence Hall:  Apartments 
 Number of Students:  522 
 Number of Floors:  3 
 Average Room Size:  ""11 x 18"" 
 Availability:  Continuing Students 
 Contract Type:  Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Wifi throughout the building Laundry facility Bike rack Community Center Building main lounge Pool table, foosball table *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my apartment? Twin extra long bed and mattress Closet space Desk Chair Blinds or curtains Wifi in bedrooms Hardwood flooring/carpeted flooring Couch Coffee Table Dining room table and chairs Lamps Hallway storage space/closet Sink Full size refrigerator Stove/oven Cabinet space Private bathroom in apartment"
Busch,Thomas Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/thomas-suites,"Type of Residence Hall:  Suites 
 Number of Students:  177 
 Number of Floors:  4 
 Average Room Size:  ""18 x 12"" 
 Availability:  Continuing Students 
 Contract Type:  Undergraduate Academic Year (Two semesters) 
 
 
 
 
 
 What's Nearby? 
 
 Busch Dining Hall, Busch Student Center, Busch Recreation Bubble, Libraries Annex, Sonny Werblin Recreation Center, intramural fields 
 
 Features & Amenities 
 
 Air-cooled* Vending machines Wifi throughout the building Laundry facility Building mainlounge Floor lounges Pool table, ping pong table, foosball table Communal kitchen (with stove top and oven) (one in the building) Elevator *Students living in air-cooled halls are encouraged to review our  moisture control resources . 
 
 What's included in my space? 
 
 What’s included in my suite? Twin extra long bed and mattress Closet space Dresser Desk Chair Microfridge Blinds or curtains Mirrors (in every room) Wifi in bedrooms Carpeted flooring Couch Loveseat Arm chair Coffee table Side table(s) Lamps Private bathroom in room"
